"","geometry.location.lat","geometry.location.lng","geometry.viewport.northeast.lat","geometry.viewport.northeast.lng","geometry.viewport.southwest.lat","geometry.viewport.southwest.lng","business_status","name","place_id","plus_code.compound_code","plus_code.global_code","vicinity","rating","permanently_closed"
"1",  1.354056,103.776945,  1.358624,103.777799,  1.340354,103.774383,"OPERATIONAL","Bukit Timah Nature Reserve","ChIJO9cemPUQ2jERvlh8KtwhtAc",9Q3G+JQ Singapore,6PH59Q3G+JQ,"Hindhede Drive",4.5,NA
"2",  1.360729,103.812522,  1.364492,103.816676,  1.353182,103.808811,"OPERATIONAL","TreeTop Walk","ChIJ3wysGNcQ2jERfWy5UZcW7mY",9R67+72 Singapore,6PH59R67+72,"601 Island Club Road",4.6,NA
"3",  1.332966,103.807676,  1.334302,103.808994,  1.331604,103.806296,"OPERATIONAL","Yacht Rental","ChIJCxAusaUQ2jERUFXGBuSp4L4",8RM5+53 Singapore,6PH58RM5+53,"4 Greenmead Avenue",4.8,NA
"4",  1.348909,103.775735,  1.349820,103.777344,  1.347122,103.774646,"OPERATIONAL","Hindhede Nature Park","ChIJq_5RjPUQ2jERQZR7bzih7tw",8QXG+H7 Singapore,6PH58QXG+H7,"Hindhede Drive",4.5,NA
"5",  1.324080,103.805386,  1.325366,103.806712,  1.322668,103.804014,"OPERATIONAL","Duchess Park","ChIJ4SxicQka2jERkF58tsKLHWo",8RF4+J5 Singapore,6PH58RF4+J5,"38 Duchess Avenue",4.2,NA
"6",  1.364018,103.776397,  1.365409,103.777758,  1.362711,103.775060,"OPERATIONAL","Dairy Farm Nature Park","ChIJ-f__r6oR2jER5UiO6z8HpQM",9Q7G+JH Singapore,6PH59Q7G+JH,"100 Dairy Farm Road",4.5,NA
"7",  1.334114,103.776883,  1.335399,103.778423,  1.332701,103.775725,"OPERATIONAL","Dialogue in the Dark Singapore","ChIJmTWqoYcQ2jER0aMwdfCAy_s",8QMG+JQ Singapore,6PH58QMG+JQ,"535 Clementi Road, blk 5",4.7,NA
"8",  1.336106,103.822985,  1.337524,103.824334,  1.334826,103.821636,"OPERATIONAL","Bukit Brown Cemetery","ChIJYaL2n1IX2jERJNVOyetLpC8",8RPF+C5 Singapore,6PH58RPF+C5,"36C Lorong Halwa",4.6,NA
"9",  1.356237,103.801520,  1.357562,103.802875,  1.354864,103.800177,"OPERATIONAL","Rifle Range Link","ChIJAQyq4dwQ2jERqd1UZ-L--rI",9R42+FJ Singapore,6PH59R42+FJ,"Rifle Range Road",4.6,NA
"10",  1.351307,103.806413,  1.352656,103.807762,  1.349958,103.805064,"OPERATIONAL","Jelutong Tower","ChIJ12QpRsQQ2jERqiIvvC95-Fw",9R24+GH Singapore,6PH59R24+GH,"Singapore",4.4,NA
"11",  1.348513,103.786093,  1.349874,103.787457,  1.347176,103.784759,"CLOSED_TEMPORARILY","Kampong Trail","ChIJz-Hb9_IQ2jERuuz_ckn03EQ",8QXP+CC Singapore,6PH58QXP+CC,"Jalan Kampong Chantek",4.3,TRUE
"12",  1.353283,103.818418,  1.354632,103.819767,  1.351934,103.817069,"OPERATIONAL","Central Catchment Nature Reserve","ChIJDR2Au0sX2jERt1iFDZAqk70",9R39+89 Singapore,6PH59R39+89,"park",4.5,NA
"13",  1.344783,103.782010,  1.346132,103.783359,  1.343434,103.780661,"CLOSED_TEMPORARILY","Rifle Range Nature Park","ChIJR9wDuIwQ2jERp5g9l0m9MQ0",8QVJ+WR Singapore,6PH58QVJ+WR,"Rifle Range Road",4.6,TRUE
"14",  1.341478,103.780831,  1.342856,103.782803,  1.340158,103.778831,"OPERATIONAL","Mayfair Park","ChIJFbEX-YsQ2jERP186ekWXmDM",8QRJ+H8 Singapore,6PH58QRJ+H8,"Jalan Gaharu",4.3,NA
"15",  1.342866,103.779725,  1.344215,103.781072,  1.341517,103.778374,"OPERATIONAL","Bukit Timah MTB Trail","ChIJBchYmIsQ2jERj2ihIgIsHGA",8QVH+4V Singapore,6PH58QVH+4V,"126F Rifle Range Road",4.4,NA
"16",  1.372421,103.805314,  1.373770,103.806665,  1.371072,103.803967,"OPERATIONAL","Upper Peirce Reservoir Viewpoint","ChIJjS-M_gUR2jERDmc0eivP8aI",9RC4+X4 Singapore,6PH59RC4+X4,"Unnamed Road",4.8,NA
"17",  1.354674,103.776441,  1.356023,103.777790,  1.353325,103.775092,"OPERATIONAL","Bukit Timah Summit","ChIJ-92V8_cQ2jERVW-SShTyP_k",9Q3G+VH Singapore,6PH59Q3G+VH,"Bukit Timah Road",4.6,NA
"18",  1.348535,103.775726,  1.349617,103.777317,  1.346919,103.774619,"OPERATIONAL","Waringin Hut","ChIJpQb08ksR2jERTc5gwrgwrDc",8QXG+C7 Singapore,6PH58QXG+C7,"177 Hindhede Drive",4.0,NA
"19",  1.326698,103.807614,  1.328184,103.809871,  1.325486,103.805483,"OPERATIONAL","Bougainvillea Park","ChIJz_LlfqcQ2jERY47PB29X2Xc",8RG5+M2 Singapore,6PH58RG5+M2,"500 Dunearn Road",4.2,NA
"20",  1.327582,103.811513,  1.328894,103.812812,  1.326196,103.810114,"OPERATIONAL","Great Shelford Tree","ChIJg7z9zpoR2jERbTVdk9OZ9Uk",8RH6+2J Singapore,6PH58RH6+2J,"43 Shelford Road",4.8,NA
"21",  1.323429,103.796730,  1.324779,103.798083,  1.322081,103.795385,"OPERATIONAL","Namly Park","ChIJM1DH7HQa2jERliYfh_GvaEY",8QFW+9M Singapore,6PH58QFW+9M,"Namly Place",4.1,NA
"22",  1.336027,103.823044,  1.337484,103.824393,  1.334786,103.821696,"OPERATIONAL","Bukit Brown","ChIJORIHoFIX2jERma4hX-ncUKI",8RPF+C6 Singapore,6PH58RPF+C6,"36C Lorong Halwa, 36C Lorong Halwa",4.5,NA
"23",  1.374659,103.811246,  1.376473,103.812458,  1.373775,103.809760,"OPERATIONAL","Upper Peirce Reservoir Park","ChIJ59JC2zAR2jERBRxd5jtZKL8",9RF6+VF Singapore,6PH59RF6+VF,"Along Old Upper Thomson Road",4.6,NA
"24",  1.343817,103.773143,  1.345253,103.774386,  1.342555,103.771688,"OPERATIONAL","Hoover Park","ChIJyfX7W2AQ2jERk-3vxTfK55w",8QVF+G7 Singapore,6PH58QVF+G7,"Lorong Pisang Batu, Singapore",4.2,NA
"25",  1.328753,103.781435,  1.330102,103.782784,  1.327404,103.780086,"OPERATIONAL","Rail Corridor","ChIJZ7szL4IQ2jEROtrhM5Cj2as",8QHJ+GH Singapore,6PH58QHJ+GH,"",4.5,NA
"26",  1.321967,103.796425,  1.323226,103.797751,  1.320528,103.795053,"OPERATIONAL","Coronation Park","ChIJ08yYY3Ma2jERmCxzbKQwBPo",8QCW+QH Singapore,6PH58QCW+QH,"Coronation Road West",4.2,NA
"27",  1.359810,103.826672,  1.361013,103.828163,  1.358315,103.825466,"OPERATIONAL","Windsor Nature Park","ChIJ_6g8kisX2jERaGrSixd_xbM",9R5G+WM Singapore,6PH59R5G+WM,"30 Venus Drive",4.6,NA
"28",  1.359496,103.826966,  1.360857,103.828331,  1.358159,103.825633,"OPERATIONAL","Macritchie Treetop Walk Trailhead","ChIJfYJF_ysX2jERCrIp85u7o1w",9R5G+QQ Singapore,6PH59R5G+QQ,"Singapore",4.6,NA
"29",  1.358610,103.827339,  1.359825,103.828534,  1.357127,103.825836,"OPERATIONAL","Venus Green","ChIJnZB2HiwX2jERDG_KhZDKIUI",9R5G+CW Singapore,6PH59R5G+CW,"Jupiter Road",4.1,NA
"30",  1.371238,103.779538,  1.372588,103.780931,  1.369890,103.778233,"OPERATIONAL","Chestnut Nature Park","ChIJGzodYQYR2jERBKbEaoMOfg8",9QCH+FR Singapore,6PH59QCH+FR,"Chestnut Avenue",4.5,NA
"31",  1.352591,103.770577,  1.353945,103.771941,  1.351247,103.769243,"OPERATIONAL","Rail Corridor Central","ChIJgVYrdFkQ2jERDoNeEIa7Lw8",9Q3C+26 Singapore,6PH59Q3C+26,"Rail Corridor",4.6,NA
"32",  1.325515,103.817464,  1.326876,103.818722,  1.324178,103.816024,"OPERATIONAL","University Road Park","ChIJNUYD6wAa2jERjatBYJ0RwCc",8RG8+6X Singapore,6PH58RG8+6X,"University Road",4.4,NA
"33",  1.404348,103.793023,  1.405631,103.795251,  1.402933,103.786338,"OPERATIONAL","Singapore Zoo","ChIJr9wqENkT2jERkRs7pMj6FLQ",CQ3V+P6 Singapore,6PH5CQ3V+P6,"80 Mandai Lake Rd",4.6,NA
"34",  1.402187,103.788061,  1.405651,103.790281,  1.401033,103.787320,"OPERATIONAL","Night Safari","ChIJ9xUuiNcT2jER49FS2OpE8W8",CQ2Q+V6 Singapore,6PH5CQ2Q+V6,"80 Mandai Lake Road",4.2,NA
"35",  1.403186,103.790688,  1.405363,103.795446,  1.402461,103.787578,"OPERATIONAL","River Wonders","ChIJxZfX_9gT2jERknwK8es7IHU",CQ3R+77 Singapore,6PH5CQ3R+77,"80 Mandai Lake Road",4.4,NA
"36",  1.402215,103.791668,  1.403578,103.792940,  1.400880,103.790242,"OPERATIONAL","Amazon River Quest","ChIJC4uiptgT2jERbzVNdDRX7yk",CQ2R+VM Singapore,6PH5CQ2R+VM,"80 Mandai Lake Road",4.3,NA
"37",  1.378464,103.775891,  1.379611,103.777039,  1.376913,103.774341,"OPERATIONAL","Zhenghua Park","ChIJW0wCIAcR2jERAEOR0GhMljA",9QHG+99 Singapore,6PH59QHG+99,"273 Bangkit Road, Singapore",4.3,NA
"38",  1.372014,103.825789,  1.372800,103.828820,  1.369658,103.824779,"OPERATIONAL","Lower Peirce Reservoir Park","ChIJQx3YRtIW2jERTHZ7nC044PM",9RCG+R8 Singapore,6PH59RCG+R8,"",4.5,NA
"39",  1.383612,103.821639,  1.384961,103.822988,  1.382263,103.820290,"OPERATIONAL","Thomson Nature Park","ChIJre8p_MoW2jERJBGKw1MsdbY",9RMC+CM Singapore,6PH59RMC+CM,"Upper Thomson Road",4.5,NA
"40",  1.400879,103.807041,  1.402228,103.808390,  1.399530,103.805692,"OPERATIONAL","Upper Seletar Reservoir Park","ChIJcRNpHFwR2jERYHKod6yVMM0",CR24+9R Singapore,6PH5CR24+9R,"Mandai Road Track 7",4.6,NA
"41",  1.405586,103.794924,  1.406935,103.796273,  1.404237,103.793575,"OPERATIONAL","Ring tailed lemur","ChIJi2BCYf8T2jERzznfJN0G2lc",CQ4V+6X Singapore,6PH5CQ4V+6X,"80 Mandai Lake Road",NA,NA
"42",  1.385733,103.773536,  1.387575,103.774852,  1.384877,103.772154,"OPERATIONAL","Zhenghua Nature Park","ChIJLYzHTZ4R2jERAw7BgUHSoig",9QPF+7C Singapore,6PH59QPF+7C,"466 Segar Road, Singapore",4.4,NA
"43",  1.370043,103.825747,  1.371392,103.827096,  1.368694,103.824398,"OPERATIONAL","Lower Peirce Reservoir Pavilion","ChIJOZ06vtMW2jERIQqohijpkRI",9RCG+27 Singapore,6PH59RCG+27,"Lower Peirce Reservoir",4.7,NA
"44",  1.372735,103.828953,  1.374080,103.830146,  1.371382,103.827448,"OPERATIONAL","Leban Park","ChIJD7FnwtEW2jERJip7KFO4pyI",9RFH+3H Singapore,6PH59RFH+3H,"Upper Thomson Road",4.2,NA
"45",  1.373333,103.829600,  1.374627,103.830949,  1.371930,103.828251,"OPERATIONAL","Gelenggang Park","ChIJu-AD19EW2jERMGzUmfTAPQ4",9RFH+8R Singapore,6PH59RFH+8R,"Jalan Gelenggang",3.5,NA
"46",  1.406261,103.820350,  1.407610,103.821699,  1.404912,103.819001,"OPERATIONAL","Springside Park","ChIJ87OfRf8T2jERmZ0jguuBcqo",CR4C+G4 Singapore,6PH5CR4C+G4,"Springside Park",3.9,NA
"47",  1.434868,103.794167,  1.435781,103.795954,  1.433083,103.791819,"OPERATIONAL","Mandai Tekong Park","ChIJb3Q5XKET2jERSAkW7uf_Ojo",CQMV+WM Singapore,6PH5CQMV+WM,"Woodlands Avenue 5",4.3,NA
"48",  1.413926,103.829224,  1.415763,103.830560,  1.413065,103.827862,"OPERATIONAL","The Live Turtle & Tortoise Museum","ChIJjdlrzgIQ2jER5r7cRZdlcuE",CR7H+HM Singapore,6PH5CR7H+HM,"81 Lorong Chencharu, #01-16, ORTO",4.1,NA
"49",  1.412340,103.829100,  1.413525,103.830483,  1.410828,103.827785,"OPERATIONAL","Katapult Trampoline Park","ChIJPzulIQ8U2jER0xNuPd-Z0_4",CR6H+WJ Singapore,6PH5CR6H+WJ,"81, 01-11 Lorong Chencharu, ORTO",4.3,NA
"50",  1.413117,103.829372,  1.415085,103.830436,  1.412387,103.826178,"OPERATIONAL","ORTO","ChIJncjPBA8U2jER5ol9uaCD7KY",CR7H+6P Singapore,6PH5CR7H+6P,"81 Lorong Chencharu, Singapore",4.2,NA
"51",  1.439727,103.806934,  1.440874,103.808559,  1.438176,103.805861,"OPERATIONAL","Greenwood Sanctuary @ Admiralty","ChIJeVFZLHYT2jERzcUhTfnaBoU",CRQ4+VQ Singapore,6PH5CRQ4+VQ,"685 Woodlands Drive 73",4.2,NA
"52",  1.448411,103.778986,  1.450644,103.782770,  1.441709,103.777725,"OPERATIONAL","Admiralty Park","ChIJNRelbgMT2jERD6Ak-zoK23U",CQXH+9H Singapore,6PH5CQXH+9H,"6A Admiralty Road",4.5,NA
"53",  1.437763,103.769977,  1.439263,103.771580,  1.436565,103.768882,"OPERATIONAL","Marsiling Park","ChIJn_BWwVUS2jERyHkVTD_-_vw",CQQ9+4X Singapore,6PH5CQQ9+4X,"Woodlands Centre Road",4.1,NA
"54",  1.440014,103.779706,  1.441409,103.781094,  1.438711,103.778397,"OPERATIONAL","Sri Siva Krishna Temple","ChIJFwL1mAAT2jERxvscjCzfLrs",CQRH+2V Singapore,6PH5CQRH+2V,"31 Marsiling Rise, Singapore",4.6,NA
"55",  1.436640,103.779245,  1.437317,103.780010,  1.434619,103.777312,"OPERATIONAL","Woodlands Town Park East","ChIJnwhXCqsT2jER98tgs2Y4z08",CQPH+MM Singapore,6PH5CQPH+MM,"3 Woodlands Street 13",4.2,NA
"56",  1.441404,103.803485,  1.442815,103.804805,  1.440117,103.802107,"OPERATIONAL","Mural: Woodlands Nature Zone by Yip Yew Chong","ChIJtTrMeDAT2jERvTtAyaYwR6w",CRR3+H9 Singapore,6PH5CRR3+H9,"683C Woodlands Drive 62, Block 683C, Singapore",5.0,NA
"57",  1.440299,103.789771,  1.441572,103.790937,  1.438874,103.788239,"OPERATIONAL","Fu Shan Garden","ChIJq80RNwgT2jERaGoh8ljsQcc",CQRQ+4W Singapore,6PH5CQRQ+4W,"81 Woodlands Street 81",4.3,NA
"58",  1.444957,103.783856,  1.446296,103.785244,  1.443598,103.782546,"OPERATIONAL","Human Face Tree","ChIJO1aPOmQT2jER5ppT9GQ6_Rc",CQVM+XG Singapore,6PH5CQVM+XG,"",5.0,NA
"59",  1.443324,103.818014,  1.445046,103.819151,  1.442348,103.816453,"OPERATIONAL","Canberra Park","ChIJ4YgAeX4T2jERVlOBy85Z-Wc",CRV9+86 Singapore,6PH5CRV9+86,"Sembawang Crescent",4.3,NA
"60",  1.453002,103.780269,  1.453876,103.781683,  1.450377,103.776029,"OPERATIONAL","Woodlands Waterfront Park","ChIJi090zPwS2jERiJCqFWoP8Z4",FQ3J+64 Singapore,6PH5FQ3J+64,"Admiralty Road West",4.4,NA
"61",  1.447473,103.824494,  1.448892,103.825683,  1.446194,103.822985,"OPERATIONAL","Old Admiralty House","ChIJUaIJ2IIU2jERHHehj1auK9Y",CRWF+XQ Singapore,6PH5CRWF+XQ,"345 Old Nelson Road",4.0,NA
"62",  1.439533,103.826900,  1.440924,103.828035,  1.438226,103.825337,"OPERATIONAL","Jalan Kemuning Park","ChIJybLQqoAU2jERLZ4G1LR2qPE",CRQG+RQ Singapore,6PH5CRQG+RQ,"26 Jalan Kemuning, Singapore",4.2,NA
"63",  1.449335,103.825922,  1.450427,103.827098,  1.447729,103.824400,"OPERATIONAL","Montreal Green","ChIJoWzytJwU2jERSAo6Idvhc_8",CRXG+P9 Singapore,6PH5CRXG+P9,"Canberra Link",4.1,NA
"64",  1.449595,103.774114,  1.451281,103.775314,  1.448583,103.772616,"OPERATIONAL","Marsiling Tunnels","ChIJl5TsueIS2jERFQIP7NsmGok",CQXF+RJ Singapore,6PH5CQXF+RJ,"Admiralty Road West",4.1,NA
"65",  1.431925,103.829368,  1.433281,103.830821,  1.430583,103.828123,"OPERATIONAL","Mother and Baby Panda Statue","ChIJm-YZiI4V2jERiJv9AQVKf1s",CRJH+QP Singapore,6PH5CRJH+QP,"104 Yishun Avenue 5",NA,NA
"66",  1.313840,103.815914,  1.326916,103.821134,  1.302975,103.809332,"OPERATIONAL","Singapore Botanic Gardens","ChIJvWDbfRwa2jERgNnTOpAU3-o",8R78+G9 Singapore,6PH58R78+G9,"1 Cluny Road, Singapore",4.7,NA
"67",  1.310479,103.814562,  1.311814,103.815897,  1.309116,103.813199,"OPERATIONAL","Keppel Discovery Wetlands","ChIJk6AAIRka2jER57Q4S7wOdrA",8R67+5R Singapore,6PH58R67+5R,"753 Tyersall Ave Singapore 257700 Tyersall Avenue, Singapore",4.5,NA
"68",  1.315554,103.817686,  1.316903,103.819035,  1.314205,103.816338,"OPERATIONAL","Botanic Gardens Nassim Gate","ChIJM0vj8Rwa2jERd2hN41fa2CI",8R89+63 Singapore,6PH58R89+63,"1B Cluny Rd",4.7,NA
"69",  1.308396,103.814887,  1.309745,103.816235,  1.307047,103.813538,"OPERATIONAL","Singapore Botanic Gardens Learning Forest","ChIJe8BApRga2jER3J0WsdkafMc",8R57+9X Singapore,6PH58R57+9X,"1 Cluny Road, Botanical Garden",4.7,NA
"70",  1.308691,103.817609,  1.310040,103.818958,  1.307343,103.816260,"OPERATIONAL","SBG Heritage Museum","ChIJNdYpaR8a2jERGENvq_sxerA",8R59+F2 Singapore,6PH58R59+F2,"1 Cluny Road",4.3,NA
"71",  1.304811,103.815153,  1.306261,103.816523,  1.303563,103.813825,"OPERATIONAL","St George's Church","ChIJvR2pxCMa2jERX7DD2SjuekU",8R38+W3 Singapore,6PH58R38+W3,"44 Minden Road",4.6,NA
"72",  1.298795,103.787551,  1.300090,103.788848,  1.297392,103.786150,"OPERATIONAL","FusionWorld","ChIJiQThRUUa2jERlBlwxYL6l3E",7QXQ+G2 Singapore,6PH57QXQ+G2,"Connexis (North Tower),, 1 Fusionopolis Way, #13-10",4.7,NA
"73",  1.303645,103.809827,  1.305067,103.811297,  1.302369,103.808600,"OPERATIONAL","REDSEA Gallery","ChIJ430GqiQa2jERpYPlKoR79sI",8R35+FW Singapore,6PH58R35+FW,"9 Dempsey Road, #01-11 Dempsey Hill",4.6,NA
"74",  1.289726,103.798445,  1.291144,103.799889,  1.288446,103.797191,"OPERATIONAL","Masjid Hang Jebat","ChIJ7VIpVjUa2jERcQYnWgX-9bk",7QQX+V9 Singapore,6PH57QQX+V9,"100 Jalan Hang Jebat",4.7,NA
"75",  1.311482,103.795806,  1.312828,103.797198,  1.310130,103.794500,"OPERATIONAL","Holland Village Park","ChIJ_y1WZuYb2jERCGErKL5en3Q",8Q6W+H8 Singapore,6PH58Q6W+H8,"Holland Avenue",4.4,NA
"76",  1.310458,103.794915,  1.311796,103.796278,  1.309098,103.793580,"OPERATIONAL","Gopniks","ChIJiUE56HEb2jER9RouqCUwlac",8Q6V+5X Singapore,6PH58Q6V+5X,"211 Holland Avenue, Singapore",NA,NA
"77",  1.313759,103.810683,  1.315140,103.812080,  1.312442,103.809382,"OPERATIONAL","Forest Discovery Centre @ OCBC Arboretum (Atbara)","ChIJ4yNzDRoa2jERnj_qax-lg_w",8R76+G7 Singapore,6PH58R76+G7,"5 Gallop Road, Singapore",4.5,NA
"78",  1.306882,103.794504,  1.307937,103.795666,  1.305239,103.792968,"OPERATIONAL","Void Deck Art Gallery","ChIJ65dpbyEb2jERhpRmY-ls_q4",8Q4V+QR Singapore,6PH58Q4V+QR,"8 Holland Avenue, Block 8, Singapore",5.0,NA
"79",  1.312317,103.813638,  1.313344,103.814755,  1.310646,103.812057,"OPERATIONAL","Burkill Hall","ChIJxXBEZBka2jERaAL0e35FBwE",8R67+WF Singapore,6PH58R67+WF,"1 Cluny Road, Singapore",4.4,NA
"80",  1.311705,103.814528,  1.312653,103.815733,  1.309955,103.813035,"OPERATIONAL","Crane Fountain","ChIJB2KiQRka2jERy0IVWsx6EdY",8R67+MR Singapore,6PH58R67+MR,"National, Orchid Drive",3.4,NA
"81",  1.310968,103.814860,  1.312317,103.816209,  1.309620,103.813511,"OPERATIONAL","Ginger Garden","ChIJP9jJLh8a2jERhU3Mx563lXE",8R67+9W Singapore,6PH58R67+9W,"1 Cluny Road, Singapore Botanic Gardens",4.5,NA
"82",  1.316520,103.817279,  1.317869,103.818628,  1.315171,103.815930,"OPERATIONAL","Centre for Education and Outreach","ChIJ73Dll_cb2jERvMeK0A1LqaA",8R88+JW Singapore,6PH58R88+JW,"1B Cluny Road",NA,NA
"83",  1.302839,103.790577,  1.303528,103.791857,  1.300774,103.789159,"OPERATIONAL","one-north Park","ChIJH3Xfb0Qa2jEROsA0L3hnct4",8Q3R+46 Singapore,6PH58Q3R+46,"Slim Barracks Rise",4.2,NA
"84",  1.299934,103.797796,  1.301192,103.798966,  1.298494,103.796268,"OPERATIONAL","Museum@My Queenstown","ChIJp0jlVpsb2jERP6FRirYJLwI",7QXX+X4 Singapore,6PH57QXX+X4,"Commonwealth Drive 01, #388 46-3, Singapore",4.2,NA
"85",  1.300093,103.795366,  1.301442,103.796715,  1.298744,103.794017,"OPERATIONAL","Chicken man attraction","ChIJsUDRVjob2jERgXFGCCk6qnI",8Q2W+24 Singapore,6PH58Q2W+24,"",NA,NA
"86",  1.308399,103.817705,  1.309929,103.819379,  1.307231,103.816681,"OPERATIONAL","CDL Green Gallery","ChIJjbTMZR8a2jER2EF0m6eFWqQ",8R59+93 Singapore,6PH58R59+93,"1 Cluny Road, Singapore",4.4,NA
"87",  1.302730,103.812423,  1.303960,103.813635,  1.301262,103.810937,"OPERATIONAL","Museum of Ice Cream Singapore","ChIJ_6SSVDUb2jERZzS4PfvOSp0",8R36+3X Singapore,6PH58R36+3X,"100 Loewen Road",4.6,NA
"88",  1.314246,103.821215,  1.315703,103.822600,  1.313005,103.819902,"OPERATIONAL","Dalvey Road Scenic view","ChIJI5Zi2OQZ2jERvE8xPP6JDxA",8R7C+MF Singapore,6PH58R7C+MF,"Dalvey Road",NA,NA
"89",  1.296842,103.804887,  1.298166,103.806199,  1.295468,103.803501,"OPERATIONAL","Alexandra Canal Linear Park","ChIJAcMU0DAa2jERXPtHMKJHjjA",7RW3+PX Singapore,6PH57RW3+PX,"Commonwealth Avenue",4.4,NA
"90",  1.310438,103.821928,  1.311704,103.823273,  1.309006,103.820575,"OPERATIONAL","Eden Hall, Singapore","ChIJH4dbgPUZ2jERmv0GjJRwPe8",8R6C+5Q Singapore,6PH58R6C+5Q,"28 Nassim Road",4.6,NA
"91",  1.322902,103.826504,  1.324308,103.827745,  1.321610,103.825047,"OPERATIONAL","Malcolm Park","ChIJ-ftgvP4Z2jERmGf_lr5FJmg",8RFG+5J Singapore,6PH58RFG+5J,"247 Whitley Road",3.7,NA
"92",  1.311312,103.826493,  1.312532,103.827726,  1.309834,103.825028,"OPERATIONAL","buds by Shangri-La","ChIJt1T7bPQZ2jERXO94vm-BJHg",8R6G+GH Singapore,6PH58R6G+GH,"22 Orange Grove Road",4.5,NA
"93",  1.283159,103.781946,  1.285473,103.782793,  1.282388,103.780096,"OPERATIONAL","Haw Par Villa","ChIJ9ak4I6wb2jERO6x4oAUh_-g",7QMJ+7Q Singapore,6PH57QMJ+7Q,"262 Pasir Panjang Road",4.1,NA
"94",  1.266834,103.807445,  1.268146,103.808864,  1.265448,103.806166,"OPERATIONAL","Keppel Club","ChIJ2QdCQegb2jERpeuye8JoFDw",7R84+PX Singapore,6PH57R84+PX,"10 Bukit Chermin Road",4.2,NA
"95",  1.278333,103.804444,  1.279558,103.805799,  1.276860,103.803101,"OPERATIONAL","Gillman Barracks","ChIJd-ET2cUb2jER9nfWEH4mCX0",7RH3+8Q Singapore,6PH57RH3+8Q,"9 Lock Road",4.3,NA
"96",  1.278823,103.810668,  1.279743,103.814745,  1.276066,103.809309,"OPERATIONAL","Telok Blangah Hill Park","ChIJa1WN9dob2jERWFxNMq2ZVgM",7RH6+G7 Singapore,6PH57RH6+G7,"10, Telok Blangah Green",4.5,NA
"97",  1.279741,103.794205,  1.281121,103.795567,  1.278423,103.792869,"OPERATIONAL","Reflections at Bukit Chandu","ChIJ97ZlvLkb2jERzq5JKKSBQEE",7QHV+VM Singapore,6PH57QHV+VM,"31 - K Pepys Road",4.2,NA
"98",  1.273400,103.811895,  1.274496,103.813355,  1.271798,103.810657,"OPERATIONAL","Ban Siew San Temple","ChIJDYLC5dwb2jERQy3S9zZ6ftY",7RF6+9Q Singapore,6PH57RF6+9Q,"2 Telok Blangah Drive, Singapore",4.5,NA
"99",  1.270670,103.797341,  1.272128,103.798748,  1.269430,103.796050,"OPERATIONAL","Art Apart Fair","ChIJB9b0940Z2jERMjHSvOj1yRw",7QCW+7W Singapore,6PH57QCW+7W,"5 Pasir Panjang Road",5.0,NA
"100",  1.271145,103.819599,  1.272548,103.820974,  1.269850,103.818276,"OPERATIONAL","Singapore Cable Car","ChIJAQAAAK0e2jERMFQeIT5IR-E",7RC9+FR Singapore,6PH57RC9+FR,"109 Mount Faber Road, Mount Faber Peak",4.6,NA
"101",  1.279020,103.809495,  1.280369,103.810844,  1.277671,103.808146,"OPERATIONAL","Southern Ridges","ChIJO1VVxd8b2jERTvL6uurcNWY",7RH5+JQ Singapore,6PH57RH5+JQ,"Singapore",4.6,NA
"102",  1.301411,103.773498,  1.302813,103.774702,  1.300115,103.772004,"OPERATIONAL","Lee Kong Chian Natural History Museum","ChIJlcijSfYa2jERGZ3CD7lpz_E",8Q2F+H9 Singapore,6PH58Q2F+H9,"2 Conservatory Drive",4.6,NA
"103",  1.301295,103.772716,  1.302584,103.774076,  1.299886,103.771378,"OPERATIONAL","NUS Museum","ChIJcwAAUPoa2jERiv_0ph5iKlg",8Q2F+G3 Singapore,6PH58Q2F+G3,"50 Kent Ridge Crescent, Singapore",4.4,NA
"104",  1.275360,103.819186,  1.276822,103.820623,  1.274124,103.817925,"OPERATIONAL","AL-AMIN MOSQUE","ChIJd70m09gb2jERTmTbUkuMTO0",7RG9+4M Singapore,6PH57RG9+4M,"50 Telok Blangah Way",4.8,NA
"105",  1.273341,103.814912,  1.274602,103.816222,  1.271904,103.813524,"CLOSED_TEMPORARILY","Danish Seamens Church","ChIJJdhPMNwb2jERg0uUc-S_knc",7RF7+8X Singapore,6PH57RF7+8X,"10 Pender Road, Singapore",4.4,TRUE
"106",  1.279299,103.788606,  1.280645,103.790023,  1.277947,103.787325,"OPERATIONAL","Poh Ern Shih 九華山报恩寺","ChIJHVqY6rob2jERVo-TPsG0vZw",7QHQ+PC Singapore,6PH57QHQ+PC,"9 Chwee Chian Road",4.5,NA
"107",  1.282497,103.796168,  1.283644,103.797830,  1.280946,103.795132,"OPERATIONAL","Canterbury Open Field","ChIJ84fJtzwb2jERN-j3nf-vtpo",7QJW+XF Singapore,6PH57QJW+XF,"Canterbury Road",4.8,NA
"108",  1.287212,103.809638,  1.288720,103.811079,  1.286022,103.808381,"OPERATIONAL","Alexandra Hill East Neighbourhood Park","ChIJDZ3Ue80b2jEROkyEYadw5tU",7RP5+VV Singapore,6PH57RP5+VV,"Jalan Rumah Tinggi",4.0,NA
